interceptionId,playId,teamId,playerId,intPosition,intYards,intTd
1540200,1015402,1400,20020131,S,13,False
1540201,1015839,3200,20030120,CB,0,False
1540202,1015896,1400,19990007,CB,100,False
1540203,1015935,1400,19930082,S,5,False
1540204,1016022,1400,19930082,S,1,False
1540205,1016031,1400,19990007,CB,0,False
1540206,1016130,2520,20040067,S,2,False
1540207,1016161,1400,19960406,S,0,False
1540208,1016308,1400,19930082,S,1,False
1540209,1016387,1400,20050097,CB,0,False
1540210,1016484,3900,20030125,CB,1,False
1540211,1016531,3900,20020128,LB,14,False
1540212,1016649,1400,19990007,CB,25,True
1540213,1016667,4400,20010071,FS,8,False
1540214,1016888,4500,20050205,CB,0,False
1540215,1017276,200,20040008,CB,34,False
1540216,1017346,1540,19980219,LB,20,False
1540217,1017361,200,20000048,CB,19,False
1540218,1017439,1540,19990041,CB,8,False
1540219,1017472,325,20030010,LB,38,False
1540220,1017476,1540,19990041,CB,9,False
1540221,1017498,325,19990010,CB,0,False
1540222,1017639,1540,20030034,LB,34,True
1540223,1017657,1540,20000045,S,64,True
1540224,1017691,750,20010040,CB,27,False
1540225,1017692,1540,19990041,CB,0,False
1540226,1017928,810,20030035,CB,22,True
1540227,1017954,920,19990052,DT,0,False
1540228,1017988,920,20000015,CB,9,False
1540229,1017996,1540,20020068,CB,21,False
1540230,1018006,1540,19990041,CB,4,False
1540231,1018008,920,19960044,CB,0,False
1540232,1018134,1050,20010563,DB,0,False
1540233,1018183,1050,20000187,DB,27,False
1540234,1018224,1540,20040073,CB,0,False
1540235,1018242,1050,20010165,DB,9,False
1540236,1018387,1540,20000045,S,0,False
1540237,1018410,1540,20030137,S,0,False
1540238,1018563,3000,19980033,S,0,False
1540239,1018612,1540,20000045,S,2,False
1540240,1018810,1800,20000034,S,12,False
1540241,1018812,810,20030035,CB,0,False
1540242,1018846,810,20030068,LB,10,True
1540243,1018862,810,20050181,S,0,False
1540244,1018902,810,20050181,S,0,False
1540245,1018932,1050,19990062,DB,14,False
1540246,1019011,1050,20010062,DB,0,False
1540247,1019217,1540,19990041,CB,28,False
1540248,1019260,1800,20050051,S/CB,0,False
1540249,1019296,3000,20050533,CB,51,True
1540250,1019359,3000,20020105,CB,2,False
1540251,1019406,3200,20030120,CB,29,False
1540252,1019470,3200,20040502,CB,2,False
1540253,1019530,3200,20050133,S,0,False
1540254,1019587,1800,19970169,CB,22,True
1540255,1019593,1800,19970169,CB,0,False
1540256,1019702,1800,20030029,LB,95,True
1540257,1019755,1800,20020031,LB,24,False
1540258,1019844,3900,20000118,S,3,False
1540259,1019875,1800,20050051,S/CB,19,False
1540260,1020122,1800,19970169,CB,8,False
1540261,1020166,4600,20010196,CB,0,False
1540262,1020240,4900,19980045,CB,3,False
1540263,1020312,4900,20040111,S,0,False
1540264,1020316,1800,20040025,CB,38,False
1540265,1020331,4900,20040111,S,26,False
1540266,1020412,2120,20040122,SS,2,False
1540267,1020460,3800,20010104,OLB,3,False
1540268,1020478,2120,20050188,SS,5,False
1540269,1020532,1050,20030615,DB,0,False
1540270,1020856,2200,20000547,DB,20,False
1540271,1020879,2120,20040010,CB,1,False
1540272,1021112,2250,19970411,CB,14,False
1540273,1021214,2310,19980216,CB,57,True
1540274,1021223,2120,20000095,CB,29,False
1540275,1021361,2120,19960133,FS,23,False
1540276,1021383,2120,19980137,SS,0,False
1540277,1021675,2120,19960133,FS,6,False
1540278,1021704,2510,20030043,LB,15,False
1540279,1021884,2100,20030028,CB,3,False
1540280,1021996,3800,19970057,OLB,15,False
1540281,1021998,2200,20040069,LB,16,False
1540282,1022172,610,20040663,CB,2,False
1540283,1022282,2200,20030481,LB,7,False
1540284,1022309,2200,20030481,LB,3,False
1540285,1022488,1050,19990062,DB,0,False
1540286,1022752,2250,19990036,LB,14,False
1540287,1022927,3900,20030016,S,36,False
1540288,1022980,2200,20030058,DB,8,False
1540289,1023036,2200,20040125,DB,0,False
1540290,1023070,2200,20030198,LB,5,False
1540291,1023229,4400,20030046,CB,9,False
1540292,1023321,2200,20030481,LB,19,False
1540293,1023361,2200,20000547,DB,0,False
1540294,1023381,4400,20020005,CB,14,False
1540295,1023434,2200,20030198,LB,36,False
1540296,1023508,2200,20030198,LB,10,False
1540297,1023530,2200,20000547,DB,21,False
1540298,1023765,2250,20000493,S,26,False
1540299,1023848,200,20050090,LB,10,False
1540300,1023945,2250,19970411,CB,3,False
1540301,1023980,2250,19970411,CB,2,False
1540302,1024000,2250,19990036,LB,26,True
1540303,1024299,1400,20050097,CB,23,False
1540304,1024315,1400,19960406,S,30,False
1540305,1024758,2250,20040150,CB,-6,False
1540306,1024863,2250,20000057,S,29,False
1540307,1024949,2250,20040039,LB,0,False
1540308,1025118,2250,19990120,CB,4,False
1540309,1025177,2250,20030039,CB,9,False
1540310,1025419,3800,20050075,CB,27,True
1540311,1025452,3800,20050616,CB,24,False
1540312,1025503,3800,20050622,SS,27,False
1540313,1025582,2310,19970419,S,12,False
1540314,1025613,2310,19980044,CB,4,False
1540315,1025696,2310,19980044,CB,0,False
1540316,1025702,1400,19990007,CB,10,False
1540317,1025753,2310,20030047,LB,0,False
1540318,1025780,1400,20050056,CB,28,False
1540319,1025846,2310,20000085,S,3,False
1540320,1025864,2310,20000085,S,23,False
1540321,1025968,2310,20000085,S,0,False
1540322,1025976,2310,19970419,S,0,False
1540323,1026030,2310,19980044,CB,53,False
1540324,1026035,3430,19950023,CB,0,False
1540325,1026267,2310,20000085,S,14,False
1540326,1026373,3700,20020059,CB,40,True
1540327,1026416,2310,19970040,CB,0,False
1540328,1026457,3700,20020059,CB,20,False
1540329,1026588,2310,19980044,CB,0,False
1540330,1026668,4600,20010060,CB,6,False
1540331,1027061,200,20040186,S,51,True
1540332,1027308,200,19990472,S,1,False
1540333,1027436,2700,19970044,CB,11,False
1540334,1027496,610,20010046,DE,0,False
1540335,1027643,750,20040028,CB,0,False
1540336,1027679,2700,19980119,S,37,False
1540337,1027836,2700,20010173,LB,26,True
1540338,1027872,810,20040744,S,0,False
1540339,1027930,1400,19990007,CB,11,False
1540340,1028027,2700,19980119,S,25,False
1540341,1028040,2700,20050104,CB,4,False
1540342,1028196,2310,20000085,S,15,False
1540343,1028311,2700,20000058,S,22,False
1540344,1028353,3200,20050084,CB,8,False
1540345,1028377,2700,20030213,S,0,False
1540346,1028478,3430,20000102,CB,13,False
1540347,1028633,4900,19970066,CB,0,False
1540348,1028714,2700,20050046,DE,-3,False
1540349,1028797,2700,19990414,LB,0,False
1540350,1028808,2700,19970044,CB,0,False
1540351,1028855,2100,20020041,S,0,False
1540352,1029117,3000,19990023,CB,0,False
1540353,1029136,1050,20030084,DB,24,False
1540354,1029205,3000,19970060,S,18,False
1540355,1029218,3000,19970060,S,6,False
1540356,1029306,3000,19990023,CB,4,False
1540357,1029406,3000,19970060,S,30,False
1540358,1029655,3000,20000140,CB,0,False
1540359,1029682,2310,20000054,S,13,False
1540360,1029784,3000,19990119,LB,1,False
1540361,1029909,3000,19990023,CB,1,False
1540362,1029983,3900,19990073,LB,0,False
1540363,1030010,3900,19980117,CB,0,False
1540364,1030311,3000,20020105,CB,0,False
1540365,1030320,3000,19990023,CB,0,False
1540366,1030356,3000,20020105,CB,31,False
1540367,1030386,3000,20010045,CB,0,False
1540368,1030413,3000,19970060,S,0,False
1540369,1030428,4900,19980045,CB,2,False
1540370,1030440,3000,19970060,S,88,True
1540371,1030460,3000,20010045,CB,0,False
1540372,1030562,4900,19980045,CB,14,False
1540373,1030568,4900,19950028,LB,0,False
1540374,1030671,3200,20030120,CB,0,False
1540375,1030781,3200,19970091,LB,-1,False
1540376,1031005,3200,20030120,CB,73,True
1540377,1031058,2700,19980119,S,0,False
1540378,1031225,3300,20010084,S,12,False
1540379,1031285,3200,19940145,S,36,False
1540380,1031573,3200,20030036,DB,0,False
1540381,1031617,3410,19980024,S,0,False
1540382,1031693,3200,20040502,CB,0,False
1540383,1031694,3410,20040532,LB,22,True
1540384,1031892,3200,20050084,CB,0,False
1540385,1032224,4400,20010071,FS,0,False
1540386,1032235,4400,19960098,LB,1,False
1540387,1032438,3300,20050040,S,51,False
